2026-05-22 22:06:46 +0200 | etl.extract.get_raw_data | INFO | Raw data for main saved at data/raw/year=2026/month=05/day=22
2026-05-22 22:06:46 +0200 | etl.extract.get_raw_data | INFO | Config file loaded.
2026-05-22 22:06:47 +0200 | etl.extract.get_raw_data | INFO | Request to API for alt successful.
2026-05-22 22:06:47 +0200 | etl.extract.get_raw_data | INFO | Raw data for alt saved at data/raw/year=2026/month=05/day=22
2026-05-22 22:06:47 +0200 | etl.extract.get_raw_data | INFO | Config file loaded.
2026-05-22 22:06:48 +0200 | etl.extract.get_raw_data | INFO | Request to API for buy_sell successful.
2026-05-22 22:06:48 +0200 | etl.extract.get_raw_data | INFO | Raw data for buy_sell saved at data/raw/year=2026/month=05/day=22
2026-05-25 21:57:31 +0200 | etl.extract.get_raw_data | INFO | Config file loaded.
2026-05-25 21:57:32 +0200 | etl.extract.get_raw_data | INFO | API request for main successful.
2026-05-25 21:57:32 +0200 | etl.extract.get_raw_data | INFO | Raw data for main saved at data/raw/year=2026/month=05/day=25
2026-05-25 21:57:32 +0200 | etl.extract.get_raw_data | INFO | Config file loaded.
2026-05-25 21:57:33 +0200 | etl.extract.get_raw_data | INFO | API request for alt successful.
2026-05-25 21:57:33 +0200 | etl.extract.get_raw_data | INFO | Raw data for alt saved at data/raw/year=2026/month=05/day=25
2026-05-25 21:57:33 +0200 | etl.extract.get_raw_data | INFO | Config file loaded.
2026-05-25 21:57:34 +0200 | etl.extract.get_raw_data | INFO | API request for buy_sell successful.
2026-05-25 21:57:34 +0200 | etl.extract.get_raw_data | INFO | Raw data for buy_sell saved at data/raw/year=2026/month=05/day=25
2026-05-25 21:57:34 +0200 | etl.extract.get_raw_data | INFO | Config file loaded.
2026-05-25 21:57:36 +0200 | etl.extract.get_raw_data | INFO | API request for gold successful.
2026-05-25 21:57:36 +0200 | etl.extract.get_raw_data | INFO | Raw data for gold saved at data/raw/year=2026/month=05/day=25
2026-05-26 22:25:21 +0200 | etl.extract.get_raw_data | INFO | Config file loaded.
2026-05-26 22:25:22 +0200 | etl.extract.get_raw_data | INFO | API request for main successful.
2026-05-26 22:25:22 +0200 | etl.extract.get_raw_data | INFO | Raw data for main saved at data/raw/year=2026/month=05/day=26
2026-05-26 22:25:22 +0200 | etl.extract.get_raw_data | INFO | Config file loaded.
2026-05-26 22:25:22 +0200 | etl.extract.get_raw_data | INFO | API request for alt successful.
2026-05-26 22:25:22 +0200 | etl.extract.get_raw_data | INFO | Raw data for alt saved at data/raw/year=2026/month=05/day=26
2026-05-26 22:25:22 +0200 | etl.extract.get_raw_data | INFO | Config file loaded.
2026-05-26 22:25:23 +0200 | etl.extract.get_raw_data | INFO | API request for buy_sell successful.
2026-05-26 22:25:23 +0200 | etl.extract.get_raw_data | INFO | Raw data for buy_sell saved at data/raw/year=2026/month=05/day=26
2026-05-26 22:25:23 +0200 | etl.extract.get_raw_data | INFO | Config file loaded.
2026-05-26 22:25:23 +0200 | etl.extract.get_raw_data | INFO | API request for gold successful.
2026-05-26 22:25:23 +0200 | etl.extract.get_raw_data | INFO | Raw data for gold saved at data/raw/year=2026/month=05/day=26
2026-05-27 22:29:12 +0200 | etl.extract.get_raw_data | INFO | Config file loaded.
2026-05-27 22:29:13 +0200 | etl.extract.get_raw_data | INFO | API request for main successful.
2026-05-27 22:29:13 +0200 | etl.extract.get_raw_data | INFO | Raw data for main saved at data/raw/year=2026/month=05/day=27
2026-05-27 22:29:13 +0200 | etl.extract.get_raw_data | INFO | Config file loaded.
2026-05-27 22:29:13 +0200 | etl.extract.get_raw_data | INFO | API request for alt successful.
2026-05-27 22:29:13 +0200 | etl.extract.get_raw_data | INFO | Raw data for alt saved at data/raw/year=2026/month=05/day=27
2026-05-27 22:29:13 +0200 | etl.extract.get_raw_data | INFO | Config file loaded.
2026-05-27 22:29:14 +0200 | etl.extract.get_raw_data | INFO | API request for buy_sell successful.
2026-05-27 22:29:14 +0200 | etl.extract.get_raw_data | INFO | Raw data for buy_sell saved at data/raw/year=2026/month=05/day=27
2026-05-27 22:29:14 +0200 | etl.extract.get_raw_data | INFO | Config file loaded.
2026-05-27 22:29:15 +0200 | etl.extract.get_raw_data | INFO | API request for gold successful.
2026-05-27 22:29:15 +0200 | etl.extract.get_raw_data | INFO | Raw data for gold saved at data/raw/year=2026/month=05/day=27
2026-06-08 22:28:03 +0200 | etl.extract.get_raw_data | INFO | Config file loaded.
2026-06-08 22:28:04 +0200 | etl.extract.get_raw_data | INFO | API request for main successful.
2026-06-08 22:28:04 +0200 | etl.extract.get_raw_data | INFO | Raw data for main saved at data/raw/year=2026/month=06/day=08
2026-06-08 22:28:04 +0200 | etl.extract.get_raw_data | INFO | Config file loaded.
2026-06-08 22:28:05 +0200 | etl.extract.get_raw_data | INFO | API request for alt successful.
2026-06-08 22:28:05 +0200 | etl.extract.get_raw_data | INFO | Raw data for alt saved at data/raw/year=2026/month=06/day=08
2026-06-08 22:28:05 +0200 | etl.extract.get_raw_data | INFO | Config file loaded.
2026-06-08 22:28:05 +0200 | etl.extract.get_raw_data | INFO | API request for buy_sell successful.
2026-06-08 22:28:05 +0200 | etl.extract.get_raw_data | INFO | Raw data for buy_sell saved at data/raw/year=2026/month=06/day=08
2026-06-08 22:28:05 +0200 | etl.extract.get_raw_data | INFO | Config file loaded.
2026-06-08 22:28:06 +0200 | etl.extract.get_raw_data | INFO | API request for gold successful.
2026-06-08 22:28:06 +0200 | etl.extract.get_raw_data | INFO | Raw data for gold saved at data/raw/year=2026/month=06/day=08
2026-06-08 22:28:06 +0200 | etl.transform.raw_to_bronze | INFO | Found 52 files in data/raw
2026-06-08 22:28:07 +0200 | etl.transform.raw_to_bronze | INFO | Bronze layer load finished. Success: 52, Errors: 0
2026-06-08 22:32:15 +0200 | etl.extract.get_raw_data | INFO | Config file loaded.
2026-06-08 22:32:16 +0200 | etl.extract.get_raw_data | INFO | API request for main successful.
